pixel_start,pixel_end,volume,surface,euler
1,1,6486734,670030.586,-472.5
1,1,6388864,684922.005,-567.75
1,1,6423858,663671.39,-528.625
1,1,6399103,685760.862,-612.25
1,1,6428327,679412.385,-543.125
1,1,6345760,699300.104,-608.75
1,1,6325043,685609.216,-540.875
1,1,6410216,681584.695,-566.375
1,1,6498648,661001.446,-518.875
1,1,6425619,680968.251,-511.75
1,1,6429350,682800.984,-529.25
1,1,6344347,682835.255,-509.375
1,1,6472765,673543.429,-509.5
1,1,6439536,667093.705,-436.625
1,1,6402085,677623.544,-517.625
1,1,6381533,684123.388,-522.125
1,1,6468163,657918.351,-473.125
1,1,6313604,689544.432,-546.5
1,1,6425686,680408.362,-525.75
1,1,6374313,694627.873,-610.5
